Level5	modify	modify	modify	modify	modify	modify\	modify\	modify\	modify\	modify\
169	LV_Inferior_L	InferiorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF	LV_Inferior_L	InferiorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF
170	LV_Frontal_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_Frontal_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
171	LV_body_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_body_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
172	LV_atrium_R	PosteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_atrium_R	PosteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
173	LV_Occipital_R	PosteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_Occipital_R	PosteriorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
174	LV_Inferior_R	InferiorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF	LV_Inferior_R	InferiorLateralVentricle_R	LateralVentricle_R	Ventricle	CSF
175	III_ventricle	III_ventricle	III_ventricle	Ventricle	CSF	III_ventricle	III_ventricle	III_ventricle	Ventricle	CSF
176	PVWa_L	PVA_anterior_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	PVWa_L	ant_DPWM_L	AnteriorWM_L	WhiteMatter_L	Hemisphere_L
177	PVWa_R	PVA_anterior_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	PVWa_R	ant_DPWM_R	AnteriorWM_R	WhiteMatter_R	Hemisphere_R
178	PVWp_L	PVA_posterior_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	PVWp_L	post_DPWM_L	PosteriorWM_L	WhiteMatter_L	Hemisphere_L
179	PVWp_R	PVA_posterior_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	PVWp_R	post_DPWM_R	PosteriorWM_R	WhiteMatter_R	Hemisphere_R
180	SFWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	SF_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
181	SFWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	SF_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
182	SFWM_PFC_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	SF_PFC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
183	SFWM_PFC_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	SF_PFC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
184	SFWM_pole_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	SF_pole_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
185	SFWM_pole_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	SF_pole_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
186	MFWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	MF_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
187	MFWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	MF_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
188	MFWM_DPFC_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	MF_DPFC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
189	MFWM_DPFC_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	MF_DPFC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
190	IFWM_opercularis_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	IF_opercularis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
191	IFWM_opercularis_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	IF_opercularis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
192	IFWM_orbitalis_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	IF_orbitalis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
193	IFWM_orbitalis_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	IF_orbitalis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
194	IFWM_triangularis_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	IF_triangularis_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
195	IFWM_triangularis_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	IF_triangularis_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
196	LFOWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	LFO_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
197	LFOWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	LFO_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
198	MFOWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	MFO_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
199	MFOWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	MFO_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
200	RGWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	R_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
201	RGWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	R_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
202	PoCWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	PoC_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
203	PoCWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	PoC_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
204	PrCWM_L	PeripheralFrontalWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	PrC_L	Frontal_L	Frontal_L	Hemisphere_L	Hemisphere_L
205	PrCWM_R	PeripheralFrontalWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	PrC_R	Frontal_R	Frontal_R	Hemisphere_R	Hemisphere_R
206	SPWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	SP_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
207	SPWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	SP_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
208	SMWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	SM_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
209	SMWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	SM_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
210	AGWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	A_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
211	AGWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	A_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
212	PrCuWM_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	PrCu_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
213	PrCuWM_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	PrCu_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
214	STWM_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	ST_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
215	STWM_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	ST_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
216	STWM_L_pole	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	ST_L_pole	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
217	STWM_R_pole	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	ST_R_pole	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
218	MTWM_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	MT_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
219	MTWM_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	MT_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
220	MTWM_L_pole	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	MT_L_pole	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
221	MTWM_R_pole	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	MT_R_pole	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
222	ITWM_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	IT_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
223	ITWM_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	IT_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
224	FuWM_L	PeripheralTemporalWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	Fu_L	Temporal_L	Temporal_L	Hemisphere_L	Hemisphere_L
225	FuWM_R	PeripheralTemporalWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	Fu_R	Temporal_R	Temporal_R	Hemisphere_R	Hemisphere_R
226	SOWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	SO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
227	SOWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	SO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
228	MOWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	MO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
229	MOWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	MO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
230	IOWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	IO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
231	IOWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	IO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
232	CuWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	Cu_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
233	CuWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	Cu_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
234	LGWM_L	PeripheralOccipitalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	LG_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
235	LGWM_R	PeripheralOccipitalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	LG_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
236	rostralWM_ACC_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	rostral_ACC_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
237	rostralWM_ACC_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	rostral_ACC_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
238	subcallosalWM_ACC_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	subcallosal_ACC_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
239	subcallosalWM_ACC_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	subcallosal_ACC_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
240	subgenualWM_ACC_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	subgenual_ACC_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
241	subgenualWM_ACC_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	subgenual_ACC_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
242	dorsalWM_ACC_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	dorsal_ACC_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
243	dorsalWM_ACC_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	dorsal_ACC_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
244	PCCWM_L	PeripheralCingulateWM_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	PCC_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
245	PCCWM_R	PeripheralCingulateWM_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	PCC_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
246	CerebellumWM_R	CerebellumWM_R	Cerebellum_R	Metencephalon_R	Metencephalon	CerebellumWM_R	CerebellumWM_R	Cerebellum_R	Cerebellum_R	Cerebellum
247	CerebellumWM_L	CerebellumWM_L	Cerebellum_L	Metencephalon_L	Metencephalon	CerebellumWM_L	CerebellumWM_L	Cerebellum_L	Cerebellum_L	Cerebellum
248	CSF	xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx							
249	SKULL1	xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx					
250	SKULL2	xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx					
251	SKULL3	xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx
252	MCP_cb_L	CerebellumWM_L	Cerebellum_L	Metencephalon_L	Metencephalon	CerebellumWM_L	CerebellumWM_L	Cerebellum_L	Cerebellum_L	Cerebellum 
253	MCP_cb_R	CerebellumWM_R	Cerebellum_R	Metencephalon_R	Metencephalon	CerebellumWM_R	CerebellumWM_R	Cerebellum_R	Cerebellum_R	Cerebellum
254	Bone marrow	xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx    
255	ICP_cb_L	CerebellumWM_L	Cerebellum_L	Metencephalon_L	Metencephalon	CerebellumWM_L	CerebellumWM_L	Cerebellum_L	Cerebellum_L	Cerebellum
256	ICP_cb_R	CerebellumWM_R	Cerebellum_R	Metencephalon_R	Metencephalon	CerebellumWM_R	CerebellumWM_R	Cerebellum_R	Cerebellum_R	Cerebellum
257	FrontSul_L	FrontSul_L	FrontSul_L	Sulcus_L	CSF	FrontSul_L	FrontSul_L	FrontSul_L	Sulcus_L	CSF
258	FrontSul_R	FrontSul_R	FrontSul_R	Sulcus_R	CSF	FrontSul_R	FrontSul_R	FrontSul_R	Sulcus_R	CSF
259	CentralSul_L	CentralSul_L	CentralSul_L	Sulcus_L	CSF	CentralSul_L	CentralSul_L	CentralSul_L	Sulcus_L	CSF
260	CentralSul_R	CentralSul_R	CentralSul_R	Sulcus_R	CSF	CentralSul_R	CentralSul_R	CentralSul_R	Sulcus_R	CSF
261	SylFrontSul_L	SylFrontSul_L	SylvianFissureExt_L	Sulcus_L	CSF	SylAntInsularSul_L	SylAntInsularSul_L	FrontSul_L	Sulcus_L	CSF
262	SylFrontSul_R	SylFrontSul_R	SylvianFissureExt_R	Sulcus_R	CSF	SylAntInsularSul_R	SylAntInsularSul_R	FrontSul_R	Sulcus_R	CSF
263	SylTempSul_L	SylTempSul_L	SylvianFissureExt_L	Sulcus_L	CSF	SylPostInsularSul_L	SylPostInsularSul_L	TempSul_L	Sulcus_L	CSF
264	SylTempSul_R	SylTempSul_R	SylvianFissureExt_R	Sulcus_R	CSF	SylPostInsularSul_R	SylPostInsularSul_R	TempSul_R	Sulcus_R	CSF
265	SylParieSul_L	SylParieSul_L	SylvianFissureExt_L	Sulcus_L	CSF	SylExtSMG_L	SylExtSMG_L	ParietSul_L	Sulcus_L	CSF
266	SylParieSul_R	SylParieSul_R	SylvianFissureExt_R	Sulcus_R	CSF	SylExtSMG_R	SylExtSMG_R	ParietSul_R	Sulcus_R	CSF
267	ParietSul_L	ParietSul_L	ParietSul_L	Sulcus_L	CSF	ParietSul_L	ParietSul_L	ParietSul_L	Sulcus_L	CSF
268	ParietSul_R	ParietSul_R	ParietSul_R	Sulcus_R	CSF	ParietSul_R	ParietSul_R	ParietSul_R	Sulcus_R	CSF
269	CinguSul_L	CinguSul_L	CinguSul_L	Sulcus_L	CSF	CinguSul_L	CinguSul_L	CinguSul_L	Sulcus_L	CSF
270	CinguSul_R	CinguSul_R	CinguSul_R	Sulcus_R	CSF	CinguSul_R	CinguSul_R	CinguSul_R	Sulcus_R	CSF
271	OcciptSul_L	OcciptSul_L	OcciptSul_L	Sulcus_L	CSF	OcciptSul_L	OcciptSul_L	OcciptSul_L	Sulcus_L	CSF
272	OcciptSul_R	OcciptSul_R	OcciptSul_R	Sulcus_R	CSF	OcciptSul_R	OcciptSul_R	OcciptSul_R	Sulcus_R	CSF
273	TempSul_L	TempSul_L	TempSul_L	Sulcus_L	CSF	TempSul_L	TempSul_L	TempSul_L	Sulcus_L	CSF
274	TempSul_R	TempSul_R	TempSul_R	Sulcus_R	CSF	TempSul_R	TempSul_R	TempSul_R	Sulcus_R	CSF
275	Caudate_tail_L	Caudate_tail_L	BasalGang_L	CerebralNucli_L	Telencephalon_L	Caudate_tail_L	Striatum_L	BasalGang_L	CerebralNucli_L	Hemisphere_L
276	Fimbria_L	Hippo_L	Limbic_L	CerebralCortex_L	Telencephalon_L	Hippo_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
277	Caudate_tail_R	Caudate_tail_R	BasalGang_R	CerebralNucli_R	Telencephalon_R	Caudate_tail_R	Striatum_R	BasalGang_R	CerebralNucli_R	Hemisphere_R
278	Fimbria_R	Hippo_R	Limbic_R	CerebralCortex_R	Telencephalon_R	Hippo_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
279	Chroid_LVetc_L	AnteriorLateralVentricle_L	LateralVentricle_L	Ventricle 	CSF	Chroid_LVetc_L	AnteriorLateralVentricle_L	LateralVentricle_L	Ventricle 	CSF
280	Chroid_LVetc_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle 	CSF	Chroid_LVetc_R	AnteriorLateralVentricle_R	LateralVentricle_R	Ventricle 	CSF
281	IV_ventricle	IV_ventricle	IV_ventricle	Ventricle	CSF	IV_ventricle	IV_ventricle	IV_ventricle	Ventricle	CSF
282	ECCL_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	EC_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
283	ECCL_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	EC_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
