Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby127a_3_1_ax.img	Telencephalon_L	531111	0.0000e+00	374.0000	128.3013	51.8593	
kirby127a_3_1_ax.img	Telencephalon_R	543404	0.0000e+00	300.0000	135.0683	53.6471	
kirby127a_3_1_ax.img	Diencephalon_L	9683	15.0000	295.0000	193.5488	32.2733	
kirby127a_3_1_ax.img	Diencephalon_R	9678	10.0000	335.0000	193.7051	32.7869	
kirby127a_3_1_ax.img	Mesencephalon	10268	55.0000	307.0000	230.8583	29.2249	
kirby127a_3_1_ax.img	Metencephalon	159402	2.0000	299.0000	138.5200	52.2241	
kirby127a_3_1_ax.img	Myelencephalon	4973	12.0000	286.0000	199.8497	36.6501	
kirby127a_3_1_ax.img	CSF	109776	0.0000e+00	258.0000	33.0193	26.3262	



Type1-L2 Statistics

kirby127a_3_1_ax.img	CerebralCortex_L	276965	0.0000e+00	249.0000	88.5014	27.7510	
kirby127a_3_1_ax.img	CerebralCortex_R	282858	0.0000e+00	295.0000	93.7283	28.1726	
kirby127a_3_1_ax.img	CerebralNucli_L	12380	14.0000	273.0000	165.5364	28.7978	
kirby127a_3_1_ax.img	CerebralNucli_R	13073	16.0000	273.0000	168.7348	30.4016	
kirby127a_3_1_ax.img	Thalamus_L	6342	38.0000	268.0000	192.1482	24.4523	
kirby127a_3_1_ax.img	Thalamus_R	6372	34.0000	265.0000	194.3232	27.0116	
kirby127a_3_1_ax.img	BasalForebrain_L	3341	15.0000	295.0000	196.2076	43.2780	
kirby127a_3_1_ax.img	BasalForebrain_R	3306	10.0000	335.0000	192.5140	41.6949	
kirby127a_3_1_ax.img	Mesencephalon_L	4943	57.0000	296.0000	228.3875	27.4134	
kirby127a_3_1_ax.img	Mesencephalon_R	5325	55.0000	307.0000	233.1521	30.6334	
kirby127a_3_1_ax.img	Metencephalon_R	79910	2.0000	299.0000	144.9297	53.1512	
kirby127a_3_1_ax.img	Metencephalon_L	79493	3.0000	275.0000	132.0767	50.4612	
kirby127a_3_1_ax.img	Myelencephalon_L	2403	25.0000	283.0000	196.0509	37.1295	
kirby127a_3_1_ax.img	Myelencephalon_R	2571	12.0000	286.0000	203.4001	35.8340	
kirby127a_3_1_ax.img	WhiteMatter_L	241767	2.0000	374.0000	171.9891	34.4828	
kirby127a_3_1_ax.img	WhiteMatter_R	247473	10.0000	300.0000	180.5410	35.8129	
kirby127a_3_1_ax.img	Ventricle	45791	0.0000e+00	258.0000	37.3184	34.2745	
kirby127a_3_1_ax.img	Sulcus_L	33971	0.0000e+00	137.0000	29.4653	17.5085	
kirby127a_3_1_ax.img	Sulcus_R	30015	0.0000e+00	161.0000	30.4828	18.6214	



Type1-L3 Statistics

kirby127a_3_1_ax.img	Frontal_L	98664	3.0000	216.0000	84.0761	26.2082	
kirby127a_3_1_ax.img	Frontal_R	98601	0.0000e+00	223.0000	86.7462	24.5228	
kirby127a_3_1_ax.img	Parietal_L	41675	1.0000	166.0000	77.8193	22.4837	
kirby127a_3_1_ax.img	Parietal_R	47756	0.0000e+00	176.0000	83.4276	24.1664	
kirby127a_3_1_ax.img	Temporal_L	63338	0.0000e+00	187.0000	90.6359	24.3093	
kirby127a_3_1_ax.img	Temporal_R	61805	1.0000	203.0000	101.3945	25.6216	
kirby127a_3_1_ax.img	Limbic_L	30777	5.0000	249.0000	115.2790	31.8381	
kirby127a_3_1_ax.img	Limbic_R	34931	5.0000	295.0000	115.0251	33.5186	
kirby127a_3_1_ax.img	Occipital_L	37254	1.0000	188.0000	86.5518	27.4130	
kirby127a_3_1_ax.img	Occipital_R	35034	0.0000e+00	220.0000	92.6425	29.3143	
kirby127a_3_1_ax.img	Insula_L	7241	10.0000	209.0000	102.3419	22.1017	
kirby127a_3_1_ax.img	Insula_R	7082	10.0000	246.0000	112.8027	24.0110	
kirby127a_3_1_ax.img	BasalGang_L	10397	14.0000	273.0000	170.1155	28.0932	
kirby127a_3_1_ax.img	BasalGang_R	10725	16.0000	273.0000	172.6275	30.8627	
kirby127a_3_1_ax.img	Thalamus_L	6342	38.0000	268.0000	192.1482	24.4523	
kirby127a_3_1_ax.img	Thalamus_R	6372	34.0000	265.0000	194.3232	27.0116	
kirby127a_3_1_ax.img	BasalForebrain_L	3341	15.0000	295.0000	196.2076	43.2780	
kirby127a_3_1_ax.img	BasalForebrain_R	3306	10.0000	335.0000	192.5140	41.6949	
